Dx	Dy	Vw	C0	A	Rt
0.265866487	0.694499439	4	8262	11	0.554266209
0.133258094	0.437555542	3	11376	11	0.166089866
0.286013976	0.688059862	1	10490	11	0.977463782
0.555400042	0.779564545	5	10600	10	0.335017511
0.111745233	0.625185621	4	8489	8	0.1399683
0.543201647	0.224910345	2	11668	9	0.797749888
0.17083032	0.03228816	3	9349	11	0.131542306
0.021234967	0.816623879	2	10688	11	0.684345115
0.596439404	0.955617997	4	8143	8	0.065381066
0.972078914	0.529484309	5	9923	10	0.745728494
0.78942527	0.85145293	5	11021	8	0.214660872
0.939668405	0.19937707	3	10014	10	0.079110423
0.751028335	0.079915697	3	10765	11	0.722346836
0.734435309	0.970720127	3	9387	10	0.175823737
0.741853156	0.521986128	4	8328	10	0.89635335
0.768889465	0.649616615	4	8501	11	0.254103172
0.820118218	0.365304099	4	8017	9	0.067596853
0.627407346	0.471273859	4	8612	9	0.675293099
0.212479148	0.546934447	4	8683	9	0.095886649
0.433289938	0.554571359	4	10962	9	0.191035022
0.438847301	0.526676656	4	9662	11	0.605213589
0.765072351	0.691534596	4	11089	12	0.891316139
0.836312695	0.07824005	5	9935	11	0.170902548
0.925670452	0.302507866	3	8188	11	0.64380761
0.493210291	0.772826888	1	11411	11	0.916891386
0.412446389	0.069286098	1	11628	8	0.367668899
0.940578057	0.993886051	3	10783	11	0.530790367
0.777938103	0.789316491	3	11108	12	0.864345576
0.956708405	0.377964043	3	11826	12	0.770434707
0.712383095	0.820879307	3	9988	8	0.97201621
0.944028634	0.036096902	4	11899	9	0.279931623
0.302840822	0.994582185	1	10235	11	0.945383036
0.475181998	0.154306375	1	9778	8	0.586814674
0.437026613	0.784381506	5	10872	10	0.413806379
0.745578425	0.656519022	5	10361	11	0.219659277
0.073373351	0.302265959	3	10234	12	0.55335138
0.082431561	0.486356945	1	9288	11	0.164607618
0.772526406	0.087873656	1	9641	10	0.524493451
0.623694436	0.679239931	1	11776	10	0.109415825
0.734954446	0.338286508	4	10965	8	0.461478137
0.517928015	0.176126025	4	9405	12	0.416175294
0.633365027	0.631505361	2	8060	12	0.87680514
0.553578351	0.060936104	3	11252	11	0.864523339
0.677870975	0.350839515	3	9492	9	0.783624786
0.530562238	0.389677167	5	8455	8	0.708526733
0.779737288	0.449582084	4	9688	10	0.533253081
0.998191629	0.28153364	2	8413	9	0.813162224
0.272910709	0.031423886	1	11632	8	0.640400868
0.481147946	0.177014095	3	9497	10	0.459263273
0.74857152	0.385354996	3	8136	9	0.753280984
0.462325452	0.21618224	4	9036	11	0.794218818
0.13768056	0.390582319	5	10080	11	0.835416335
0.965353807	0.557195713	3	9129	10	0.624495551
0.15158397	0.3399476	2	10295	10	0.692721291
0.279197552	0.803331137	3	10561	8	0.508342462
0.0812043	0.678004764	2	8059	9	0.238660755
0.296317025	0.864722452	5	10384	9	0.723886857
0.589945671	0.362412452	1	9824	12	0.344621134
0.104718082	0.862967743	1	8228	12	0.517344676
0.017884253	0.283397111	2	8738	8	0.905596915
0.954632797	0.650126913	3	10054	11	0.810153939
0.997508651	0.116135596	3	9615	9	0.5838861
0.369030402	0.673887244	1	9801	12	0.036366327
0.285710247	0.195580341	3	11850	11	0.587001848
0.149924674	0.768478213	2	8923	8	0.689343446
0.77716785	0.264950305	1	11490	12	0.41198603
0.052302996	0.496501856	2	8877	10	0.427809213
0.621456354	0.879421591	4	9907	8	0.003585449
0.893169679	0.05158249	4	9709	11	0.380189234
0.716876045	0.920121009	2	8741	8	0.262352134
0.387456549	0.481648686	2	9109	8	0.208415099
0.936129286	0.36807941	2	10107	11	0.139464463
0.143118359	0.353494249	3	10529	12	0.815442419
0.991753769	0.096598907	2	11572	8	0.386165765
0.34662593	0.466008852	3	8178	11	0.25081745
0.257652672	0.688956487	3	9043	9	0.303928167
0.390279127	0.662684096	3	9752	10	0.704573982
0.953525187	0.2689987	3	9069	11	0.645343785
0.431164313	0.991438506	1	8587	9	0.663391339
0.838337033	0.277989272	2	11770	10	0.992076453
0.167950565	0.530907726	4	8818	8	0.846941665
0.771516933	0.588577629	4	8383	8	0.503264674
0.373314097	0.092719923	4	9361	8	0.833537215
0.234156929	0.366033205	2	11298	9	0.457523181
0.927050257	0.22733825	4	8677	10	0.291454421
0.363698856	0.463505612	5	11849	12	0.540594007
0.402848111	0.671685091	5	11309	12	0.268044598
0.579779486	0.041981246	5	9567	11	0.075619024
0.384380986	0.031186861	1	8597	11	0.702256801
0.497964597	0.435448091	3	9753	10	0.549579523
0.823966476	0.777973135	2	10207	8	0.671852115
0.333544387	0.504176823	3	9910	10	0.214751377
0.375492706	0.283093473	3	9775	11	0.112511782
0.40419826	0.615710283	4	9986	12	0.658279226
0.291634454	0.874869271	4	10089	12	0.264582787
0.875924223	0.123159476	5	11245	8	0.345488245
0.887594621	0.205536264	1	8196	8	0.214994397
0.119102134	0.293109341	3	11071	8	0.572355302
0.606510003	0.715129307	2	9020	12	0.515864056
0.142681593	0.230892537	4	10464	11	0.367894543
0.299799704	0.917562949	3	11835	11	0.405445366
0.49522889	0.807965655	5	8661	12	0.542626965
0.367443412	0.484074689	1	10861	11	0.245228126
0.17649814	0.520628448	2	10567	12	0.274819111
0.122879176	0.500158036	2	8050	10	0.769821395
0.397200237	0.0633714	2	10554	9	0.629418491
0.573112181	0.60575972	2	11669	8	0.407961449
0.126328742	0.152195518	2	8716	9	0.076693878
0.548034116	0.362585088	1	11003	12	0.406740774
0.742288393	0.808753788	2	10898	12	0.242396353
0.840644608	0.835101291	5	10158	11	0.612690335
0.965609444	0.916283175	1	11982	9	0.125391669
0.67071208	0.669184687	1	11044	10	0.232129395
0.383785987	0.006269244	1	9812	11	0.085157932
0.270325554	0.751183357	4	11918	10	0.391783806
0.211481663	0.393854064	3	9779	10	0.095399485
0.413499489	0.165046666	2	10298	8	0.623685894
0.575616989	0.346102365	4	9026	10	0.984292267
0.406257224	0.021649123	4	8047	9	0.508853257
0.934323649	0.315142989	3	10982	8	0.486477594
0.044685255	0.406644028	4	11869	12	0.031428395
0.845423482	0.691107585	2	10690	9	0.561893972
0.211893389	0.600434149	4	8480	9	0.769421181
0.297322951	0.857168698	2	10130	10	0.510942622
0.879028503	0.6215264	3	10281	11	0.840120796
0.075132382	0.709459116	2	11275	9	0.198250185
0.925209949	0.417957065	5	11511	12	0.887954044
0.944380325	0.526913318	1	10393	11	0.4330611
0.826625298	0.838002142	2	9097	12	0.765487399
0.724028861	0.445879218	2	11041	11	0.672551411
0.381420501	0.250252468	3	11960	12	0.473605965
0.832385072	0.76461803	2	9330	8	0.072906773
0.506928154	0.084481049	4	8093	11	0.790849357
0.858263108	0.239172954	5	10162	8	0.998377961
0.366194765	0.085326238	3	9951	12	0.642934044
0.007474401	0.96009306	4	10323	12	0.427528861
0.48657242	0.1500235	3	11344	12	0.929819594
0.152163817	0.366278645	5	10209	12	0.246072874
0.771310709	0.355473608	5	11106	11	0.637962956
0.293479878	0.331476262	3	11972	12	0.763288922
0.47906004	0.772128321	4	9507	10	0.729020386
0.024892043	0.303904016	4	8146	9	0.788490421
0.808067124	0.760737483	1	8098	8	0.032349031
0.189859509	0.983513214	4	8973	10	0.679320501
0.569741224	0.53949991	4	11102	9	0.101640665
0.915893982	0.63235516	4	9027	11	0.873830164
0.204977434	0.831016813	2	10685	8	0.190802773
0.910915363	0.588722339	1	11971	9	0.14298585
0.506489942	0.930662308	4	9127	9	0.178672974
0.869050815	0.100218369	2	10094	9	0.55722938
0.771276498	0.629751918	2	10046	8	0.26536957
0.26002127	0.737556809	2	9089	10	0.733828293
0.622941339	0.254603941	1	9381	12	0.988265704
0.055561226	0.977612867	5	8449	11	0.895892076
0.866189579	0.458978079	3	11042	12	0.857435424
0.472188475	0.915043009	1	11582	12	0.757340174
0.812244373	0.885454622	3	9194	8	0.827875195
0.511155539	0.442262735	5	8426	8	0.696528969
0.640057517	0.101400341	1	10196	12	0.323510193
0.79372857	0.744512425	5	9729	9	0.015473513
0.886413943	0.395234902	4	9527	11	0.172970671
0.134181171	0.879947166	3	9128	11	0.203045389
0.976389508	0.614852365	3	8896	10	0.482035347
0.118682296	0.369416979	1	11314	8	0.507354863
0.412543977	0.281844832	1	11414	12	0.720953484
0.920257699	0.41581847	1	8898	10	0.941821101
0.641440746	0.234515584	4	8344	12	0.879271411
0.144712884	0.512781752	3	11170	12	0.039269247
0.637769484	0.915153248	1	11900	11	0.327801836
0.952445829	0.065981957	2	10356	11	0.401742187
0.138976	0.463097736	4	9556	9	0.549694122
0.529815466	0.749175052	1	11654	9	0.380931772
0.165523807	0.898272202	2	10104	9	0.47324627
0.913372819	0.966810938	3	10535	12	0.753434195
0.312632945	0.664852318	4	9137	12	0.969590591
0.484029783	0.936092774	2	11956	8	0.26596702
0.155007152	0.032536959	5	9631	10	0.340571431
0.914032916	0.416894764	1	10935	12	0.275027903
0.581611917	0.104207556	1	8390	8	0.083633833
0.160922143	0.111652411	4	8529	9	0.8967266
0.588501507	0.324880278	4	11026	8	0.121916272
0.606551986	0.608651599	3	10312	10	0.777572313
0.489543507	0.005551452	3	9555	11	0.658711818
0.410234578	0.756511874	5	8060	10	0.880306199
0.052075591	0.32617247	3	8253	10	0.42449019
0.54011193	0.080039372	5	8174	12	0.704885275
0.267580853	0.55655604	3	10618	9	0.253864671
0.649075522	0.000205705	1	11766	8	0.262092513
0.882940203	0.348718234	1	10535	12	0.465257578
0.08474038	0.999842838	1	11887	11	0.123672339
0.295142083	0.429794592	5	11983	8	0.430304906
0.887592127	0.899581631	5	8898	9	0.043754909
0.344843492	0.429669732	1	9358	10	0.774146484
0.897563024	0.802896826	4	8192	12	0.605332313
0.775432092	0.838176849	4	9266	9	0.498986013
0.64410972	0.574197324	3	10677	9	0.406919731
0.315152269	0.530717726	2	11004	10	0.880775889
0.298164827	0.556895526	1	9466	12	0.654105857
0.215095004	0.895280993	2	8766	12	0.901187005
0.838596069	0.026739522	4	8616	9	0.39933366
0.597972886	0.364055703	2	11434	10	0.287925162
0.146584205	0.852284079	2	8591	9	0.032377711
0.765593861	0.484005744	3	11947	8	0.38181713
0.425136641	0.589972136	4	11921	8	0.085687369
0.417771948	0.481967873	5	10213	11	0.360114601
0.367573858	0.98876824	3	11050	8	0.53739654
0.926875085	0.637060334	3	9511	8	0.044237679
0.451993469	0.713411045	1	8680	10	0.729627974
0.074504379	0.583342789	3	8379	11	0.369469147
0.850616596	0.233673363	4	10165	8	0.421271114
0.805776916	0.918993362	2	9173	11	0.58158023
0.156200425	0.128077592	1	9603	11	0.142986918
0.413962279	0.609987072	4	9105	9	0.502447773
0.348435167	0.512921702	4	8140	9	0.488722356
0.332049757	0.102811115	4	9493	9	0.246951278
0.185301572	0.345662768	5	9412	11	0.978569264
0.377288504	0.397261316	5	9606	10	0.252120831
0.088093925	0.912732837	1	9917	9	0.119298858
0.153847908	0.302688374	5	10900	12	0.320366326
0.406608397	0.9431007	1	11685	9	0.855419277
0.119321319	0.965113355	4	9412	11	0.483908856
0.250284325	0.393781838	3	11463	8	0.21796052
0.829992591	0.304286411	3	9626	10	0.110376387
0.028475938	0.448860263	3	9924	8	0.202754284
0.760407493	0.428853637	1	11636	10	0.671595045
0.363554459	0.352112169	5	9982	12	0.362499231
0.392088639	0.189436254	5	11367	12	0.648996725
0.899687756	0.91812407	4	8059	10	0.731347296
0.98340072	0.480654927	4	9711	8	0.442501903
0.030626362	0.102915528	3	9689	8	0.142476985
0.135918964	0.525346475	4	8783	9	0.484841354
0.71485069	0.969843992	2	11954	11	0.878045806
0.674279137	0.952429666	2	11509	11	0.19712166
0.279282716	0.12620169	1	10785	12	0.670087668
0.826984945	0.539946783	4	9666	9	0.85706016
0.12248792	0.002738109	5	10929	12	0.723198141
0.355847187	0.329582313	5	9505	8	0.853325684
0.300775311	0.259706911	5	11498	10	0.742949741
0.166555369	0.706531907	1	8243	11	0.925394712
0.925977717	0.110362942	1	8581	10	0.634174094
0.721818741	0.341721807	5	11970	12	0.61963032
0.421330396	0.384343636	3	9841	9	0.626322115
0.441421949	0.202594356	5	11359	8	0.893174093
0.476406637	0.94923483	2	10572	9	0.541383755
0.336882852	0.678093911	4	9313	8	0.33591598
0.678903589	0.085525311	2	10378	8	0.930906955
0.605300093	0.914635797	4	10920	8	0.743076597
0.126461614	0.067522501	4	10718	8	0.563816827
0.880286915	0.641344995	1	11546	10	0.264940566
0.081946165	0.378682072	4	9971	10	0.453323968
0.369762525	0.809955381	3	11014	12	0.946904652
0.390671027	0.806639358	1	8904	10	0.020090005
0.237570643	0.400893106	5	11686	10	0.289854643
0.727470288	0.384795614	3	9961	10	0.173030114
0.294115937	0.546390374	2	11050	9	0.420435903
0.688598149	0.545062405	1	10166	8	0.198245179
0.169210522	0.378026832	1	8392	11	0.64252971
0.580977954	0.494281256	5	11198	11	0.841348967
0.748428377	0.996863038	5	11330	10	0.632697521
0.341475056	0.947539888	3	10754	8	0.720916397
0.395235278	0.086300854	2	8864	10	0.349528654
0.997224942	0.371076643	3	10874	9	0.260741021
0.210786285	0.881921426	2	11048	11	0.616769968
0.006589755	0.023531324	1	9902	8	0.491052469
0.524391218	0.25877707	5	10327	12	0.662584569
0.418277923	0.939372552	2	10750	9	0.992987775
0.335875129	0.146854997	5	11133	9	0.245142173
0.753494923	0.69240523	2	8226	8	0.451755288
0.36147299	0.643613314	1	10609	12	0.386074037
0.443072444	0.248557198	5	10780	12	0.273740753
0.203875484	0.380980731	5	11540	12	0.096437056
0.446988241	0.530543514	5	11152	12	0.548400846
0.277570138	0.334742922	5	9574	9	0.456581019
0.01188934	0.017612257	5	10622	11	0.439888869
0.414797522	0.501799898	1	10658	12	0.225607593
0.185717909	0.702564636	5	11007	12	0.508576004
0.37503103	0.026527342	1	9326	11	0.812483946
0.344369074	0.884232849	1	8917	12	0.82078939
0.034013815	0.485764898	4	10118	12	0.964577517
0.176424926	0.533779825	2	9036	12	0.6874855
0.62925384	0.970268147	5	9402	8	0.226296112
0.817305294	0.916690697	2	10794	9	0.694098647
0.40178911	0.597787257	5	8530	11	0.807096851
0.348544457	0.000681189	5	8474	12	0.876029925
0.479163882	0.321678015	1	10696	11	0.954215484
0.951744832	0.167528159	3	10926	10	0.183772642
0.730521323	0.368092969	1	10196	11	0.566050865
0.864240683	0.347331971	3	8135	9	0.711294485
0.669897321	0.970132793	1	10361	12	0.196163757
0.702068386	0.934115341	4	10426	9	0.377612158
0.265926003	0.745262182	4	10874	12	0.125649663
0.826245921	0.648847522	3	9536	8	0.671848318
0.806419412	0.316849257	2	11133	8	0.351807388
0.41232973	0.793569084	5	8570	11	0.178544664
0.87707738	0.554929547	5	9001	8	0.163358559
0.883610759	0.135848797	5	10815	12	0.307664476
0.096170446	0.645771387	3	11657	11	0.178224049
0.458491439	0.639714579	1	10277	9	0.764746977
0.402525086	0.430572497	5	11230	12	0.487462002
0.029920143	0.806395758	1	8280	10	0.447315404
0.277038068	0.213632548	5	11409	12	0.661780202
0.061000216	0.588012761	4	8793	9	0.138270245
0.578435913	0.313029622	3	9141	9	0.696457614
0.972577887	0.62944372	4	11043	10	0.677626605
0.994477955	0.913520748	1	11379	12	0.932024984
0.268793354	0.794320774	4	11772	10	0.954181059
0.941885352	0.21684685	2	9928	8	0.719252628
0.416249341	0.073956705	2	9753	12	0.835066666
0.643010257	0.656948324	2	8883	12	0.00326942
0.468261529	0.40573273	1	9295	12	0.191873031
0.234019113	0.352531625	4	8837	10	0.96443206
0.83408346	0.499055373	5	10368	9	0.783029205
0.29998725	0.528687297	2	11114	12	0.697246078
0.78222539	0.786839739	2	10197	11	0.758218594
0.796684803	0.01350969	1	10798	10	0.326684409
0.883257669	0.684935086	3	11004	12	0.444237235
0.452016991	0.342344443	2	10461	12	0.665763528
0.936688413	0.633183094	5	10734	11	0.408711888
0.876677368	0.658067721	3	11390	11	0.461833032
0.929132993	0.938830563	4	8381	10	0.6375246
0.96738772	0.911446635	5	9758	8	0.795728953
0.945326352	0.745539216	2	11607	8	0.612383895
0.624321716	0.602187483	4	10379	11	0.885805983
0.502586632	0.053358387	1	11887	8	0.802043578
0.061545061	0.369583425	3	10299	9	0.917051269
0.709451231	0.439875404	3	10518	10	0.177374895
0.881492737	0.82270711	3	9730	8	0.87832222
0.871494841	0.724022309	2	10744	10	0.355648237
0.161131018	0.773430482	2	10846	8	0.385946044
0.235617593	0.078933684	5	9020	10	0.988636248
0.095814867	0.265116815	1	10346	9	0.744663319
0.958499925	0.924320894	1	11652	8	0.010643081
0.438371214	0.566980512	3	9558	12	0.302884954
0.332824691	0.184653364	5	10177	11	0.383496269
0.475187124	0.03484772	1	10100	12	0.999544884
0.343559894	0.774275505	5	10653	9	0.465551073
0.977547052	0.761321911	3	11838	12	0.46951395
0.253270093	0.271256931	5	11173	8	0.888719887
0.605295168	0.021391285	2	8524	9	0.848295255
0.735859561	0.83409573	1	9743	11	0.232728844
0.62840174	0.263511656	5	8131	8	0.71928196
0.666844668	0.103983498	1	9127	11	0.431364357
0.92732306	0.657890704	4	8263	8	0.353399587
0.259739285	0.335218077	5	8403	11	0.690592261
0.178997211	0.467532428	4	8653	8	0.690860805
0.379912212	0.109151892	3	10928	8	0.146619403
0.532319215	0.766345132	3	10812	11	0.651694527
0.8124868	0.223994114	5	8757	10	0.155740877
0.508893403	0.03846873	3	10424	9	0.299542593
0.41499564	0.057397756	2	8864	10	0.628915703
0.064383962	0.326458557	4	9929	8	0.461095703
0.651781063	0.543681343	3	11873	9	0.99772568
0.165786744	0.503614045	2	10246	12	0.004052458
0.282814594	0.144911992	2	11401	12	0.936470745
0.788765759	0.429648924	4	8141	8	0.465936685
0.945005801	0.873805715	2	11090	11	0.055412095
0.221187791	0.887910121	5	9930	11	0.24355239
0.954488646	0.730847408	5	10127	9	0.532878327
0.155613924	0.487254755	5	8514	8	0.849063578
0.474455962	0.935930094	3	9832	8	0.583629849
0.947222032	0.06065873	4	10434	12	0.299757014
0.125211423	0.614967552	5	10666	8	0.763662445
0.863293895	0.543424674	4	8022	12	0.607257016
0.075082539	0.623523381	5	8195	12	0.135912864
0.155921188	0.659075881	5	9180	8	0.867064828
0.621621593	0.344961138	2	10664	9	0.594357359
0.624050922	0.765977555	5	8026	8	0.192224964
0.682095339	0.539756311	2	10730	11	0.040441645
0.742487524	0.403238867	1	8389	12	0.153421802
0.277258866	0.946426024	3	8265	12	0.80712859
0.909960678	0.819581693	2	9572	8	0.998457246
0.396073121	0.67996865	4	11016	11	0.717583658
0.134537269	0.950234794	3	10234	9	0.328757091
0.196926117	0.722860321	3	10416	11	0.031073654
0.217383377	0.018537119	4	11493	8	0.266051187
0.105962512	0.451185017	3	9043	10	0.254013201
0.991096144	0.469415953	5	8904	12	0.883710104
0.355128251	0.603146558	1	10794	9	0.675402462
0.460843469	0.434040903	3	11533	12	0.879099626
0.559609049	0.884792781	3	11786	12	0.217052994
0.273931972	0.966747249	4	8135	8	0.573982504
0.30400469	0.208019242	4	10023	9	0.074112393
0.3839185	0.208289297	2	10790	10	0.706485984
0.131865156	0.14485884	4	11752	10	0.947732627
0.375772029	0.307377191	5	10220	11	0.397902085
0.673310167	0.933915459	2	9801	10	0.243307011
0.476615985	0.813073406	4	11126	10	0.600884371
0.907293254	0.860838429	5	8648	9	0.501546355
0.741671722	0.029708141	1	9229	12	0.728428339
0.65489291	0.822792452	1	9350	10	0.217936833
0.432856159	0.919714465	1	11464	12	0.063471935
0.254899935	0.697620722	2	8108	8	0.666047638
0.305703383	0.369930035	5	11929	10	0.658916066
0.537157693	0.546616359	1	10955	11	0.681901815
0.705638727	0.061213605	4	8780	12	0.969463609
0.774964834	0.127273471	2	9524	10	0.964669364
0.616902309	0.433926246	1	10242	8	0.790821485
0.768838374	0.591941501	2	10592	12	0.535685052
0.583873508	0.588193084	5	9523	9	0.395875491
0.421599086	0.893388189	1	9298	12	0.474661687
0.182729135	0.116873429	2	11344	11	0.209994875
0.654165303	0.23402499	5	10473	8	0.583116922
0.056817014	0.631782536	1	10331	11	0.157592698
0.510621198	0.667117905	2	9043	12	0.706081937
0.463525679	0.97508454	4	9143	10	0.608656231
0.226446135	0.630434993	1	8156	8	0.612478511
0.08795605	0.385679333	2	9388	12	0.294731911
0.242391674	0.121241537	5	8359	10	0.473876304
0.130377322	0.983836907	3	9267	9	0.713129822
0.976675271	0.017377614	3	8962	9	0.036070819
0.173758588	0.895697634	3	11846	9	0.813411384
0.986813632	0.503452148	2	10215	10	0.28332062
0.448173604	0.166303908	2	8151	11	0.245613769
0.710532171	0.512382959	1	11628	10	0.935293623
0.478954652	0.711521631	1	8146	10	0.681996893
0.603431208	0.280820694	1	9884	9	0.715288971
0.579406946	0.449140225	2	8663	12	0.138298551
0.274747357	0.907036767	4	8599	12	0.388822474
0.250334748	0.279359805	2	8242	9	0.091808557
0.090807314	0.015897135	4	8483	12	0.532750885
0.085119542	0.145189328	5	11913	9	0.863109981
0.594126134	0.589831348	2	11927	10	0.885332809
0.566384352	0.954104703	4	10432	12	0.55205363
0.326088221	0.722508144	3	10289	8	0.26648674
0.801511656	0.914509217	3	10607	8	0.229244205
0.937977003	0.467750406	5	9044	9	0.444984303
0.901195264	0.776455016	3	11240	8	0.948169499
0.874482806	0.999570845	1	11866	9	0.479301585
0.824040667	0.686536362	4	9138	12	0.446551927
